Frequency,S21_Magnitude,
1000000,-3.64837351,
12998000,-2.900219858,
24996000,-3.089709907,
36994000,-3.181035064,
48992000,-3.375335406,
60990000,-3.384557562,
72988000,-3.369282399,
84986000,-3.436067965,
96984000,-3.33695998,
108982000,-3.231106436,
120980000,-3.16505895,
132978000,-3.067551581,
144976000,-2.981841321,
156974000,-3.075634746,
168972000,-3.070278468,
180970000,-3.184809969,
192968000,-3.060766009,
204966000,-3.201072474,
216964000,-3.15252421,
228962000,-3.158746889,
240960000,-3.282202317,
252958000,-3.389173754,
264956000,-3.556515867,
276954000,-3.843949271,
288952000,-3.974064164,
300950000,-4.135380179,
312948000,-4.214288184,
324946000,-4.192645803,
336944000,-4.095787354,
348942000,-4.006556595,
360940000,-3.909591678,
372938000,-3.728299232,
384936000,-3.554599468,
396934000,-3.480270731,
408932000,-3.455684538,
420930000,-3.359120195,
432928000,-3.404851383,
444926000,-3.305542229,
456924000,-3.372486243,
468922000,-3.259584482,
480920000,-3.425058156,
492918000,-3.448056341,
504916000,-3.544947823,
516914000,-3.666083715,
528912000,-3.946086123,
540910000,-3.938236424,
552908000,-4.145002652,
564906000,-4.264162635,
576904000,-4.306943634,
588902000,-4.449110925,
600900000,-4.37538559,
612898000,-4.400536282,
624896000,-4.313891899,
636894000,-4.234661381,
648892000,-4.004069086,
660890000,-4.00907062,
672888000,-3.710374458,
684886000,-3.574698114,
696884000,-3.445462657,
708882000,-3.407880543,
720880000,-3.331604847,
732878000,-3.30183386,
744876000,-3.41781173,
756874000,-3.403234348,
768872000,-3.552072249,
780870000,-3.585580327,
792868000,-3.704085368,
804866000,-3.895322311,
816864000,-3.94237521,
828862000,-4.370294548,
840860000,-4.419191923,
852858000,-4.557990974,
864856000,-4.654618282,
876854000,-4.645380448,
888852000,-4.598373953,
900850000,-4.502319966,
912848000,-4.387592606,
924846000,-4.286508872,
936844000,-3.938259874,
948842000,-3.821350396,
960840000,-3.704017663,
972838000,-3.602820171,
984836000,-3.618641855,
996834000,-3.52209855,
1008832000,-3.616149547,
1020830000,-3.589873267,
1032828000,-3.6838866,
1044826000,-3.714967388,
1056824000,-3.763854732,
1068822000,-3.894919843,
1080820000,-4.087842513,
1092818000,-4.224024228,
1104816000,-4.418611381,
1116814000,-4.490403791,
1128812000,-4.588468883,
1140810000,-4.579707562,
1152808000,-4.466216641,
1164806000,-4.518123332,
1176804000,-4.427810267,
1188802000,-4.412201016,
1200800000,-4.199029964,
1212798000,-4.170857359,
1224796000,-4.143953047,
1236794000,-4.096352535,
1248792000,-4.090569266,
1260790000,-4.152675904,
1272788000,-4.136704828,
1284786000,-4.166360096,
1296784000,-4.239375755,
1308782000,-4.256896517,
1320780000,-4.28424888,
1332778000,-4.330237905,
1344776000,-4.348625929,
1356774000,-4.264503419,
1368772000,-4.390221202,
1380770000,-4.436370694,
1392768000,-4.434431676,
1404766000,-4.52546314,
1416764000,-4.531578912,
1428762000,-4.487041876,
1440760000,-4.557842482,
1452758000,-4.419036034,
1464756000,-4.585948401,
1476754000,-4.622536181,
1488752000,-4.591385789,
1500750000,-4.730470717,
1512748000,-4.842088313,
1524746000,-4.982917546,
1536744000,-5.225501201,
1548742000,-5.504198589,
1560740000,-5.527853384,
1572738000,-5.523674001,
1584736000,-5.558184365,
1596734000,-5.498231777,
1608732000,-5.301537635,
1620730000,-5.193916236,
1632728000,-5.004767337,
1644726000,-4.968861753,
1656724000,-4.849057111,
1668722000,-4.792429901,
1680720000,-4.842413147,
1692718000,-4.850468916,
1704716000,-4.934839464,
1716714000,-5.000509641,
1728712000,-5.109672103,
1740710000,-5.24823743,
1752708000,-5.451135314,
1764706000,-5.722825824,
1776704000,-6.099036214,
1788702000,-6.228448376,
1800700000,-6.477998465,
1812698000,-6.733502728,
1824696000,-6.838889051,
1836694000,-7.06442572,
1848692000,-7.574479298,
1860690000,-8.280814171,
1872688000,-9.177722911,
1884686000,-10.16279203,
1896684000,-11.35844426,
1908682000,-12.12667659,
1920680000,-13.12314847,
1932678000,-13.99025961,
1944676000,-15.07148001,
1956674000,-16.50562951,
1968672000,-17.51146374,
1980670000,-20.51077996,
1992668000,-21.22523926,
2004666000,-22.65298131,
2016664000,-24.15748314,
2028662000,-24.78274106,
2040660000,-28.32118898,
2052658000,-38.16382089,
2064656000,-35.81587977,
2076654000,-41.5831284,
2088652000,-50.65947113,
2100650000,-53.27831803,
