Frequency,S21_Magnitude,
1000000,-3.527782571,
12998000,-2.891500558,
24996000,-3.093020383,
36994000,-3.164444615,
48992000,-3.301074034,
60990000,-3.41158079,
72988000,-3.442930642,
84986000,-3.418286527,
96984000,-3.347207446,
108982000,-3.157567251,
120980000,-3.130882089,
132978000,-3.000123946,
144976000,-3.087661044,
156974000,-3.024245631,
168972000,-3.069086546,
180970000,-3.133402582,
192968000,-3.142128153,
204966000,-3.115663465,
216964000,-3.137129328,
228962000,-3.208264893,
240960000,-3.341340609,
252958000,-3.410868308,
264956000,-3.681964731,
276954000,-3.836102364,
288952000,-4.02242889,
300950000,-4.13975685,
312948000,-4.168413635,
324946000,-4.101585593,
336944000,-3.98046458,
348942000,-4.082521606,
360940000,-3.896076835,
372938000,-3.80965379,
384936000,-3.535217532,
396934000,-3.456051963,
408932000,-3.389142699,
420930000,-3.37097858,
432928000,-3.352152025,
444926000,-3.327908907,
456924000,-3.29290551,
468922000,-3.254080732,
480920000,-3.373367598,
492918000,-3.417880811,
504916000,-3.594888607,
516914000,-3.752619174,
528912000,-3.854499815,
540910000,-4.057977728,
552908000,-4.16227332,
564906000,-4.321898408,
576904000,-4.298998435,
588902000,-4.413827004,
600900000,-4.43538455,
612898000,-4.347202932,
624896000,-4.288673765,
636894000,-4.225936198,
648892000,-4.038962184,
660890000,-3.969610735,
672888000,-3.795645008,
684886000,-3.576307455,
696884000,-3.51052027,
708882000,-3.471498259,
720880000,-3.29451123,
732878000,-3.350652377,
744876000,-3.353178437,
756874000,-3.271890877,
768872000,-3.508059558,
780870000,-3.622924341,
792868000,-3.681407244,
804866000,-3.826716158,
816864000,-3.984316063,
828862000,-4.319810187,
840860000,-4.529890675,
852858000,-4.472901933,
864856000,-4.667905406,
876854000,-4.794348299,
888852000,-4.616901057,
900850000,-4.611122739,
912848000,-4.344338704,
924846000,-4.117299678,
936844000,-3.982251986,
948842000,-3.831277497,
960840000,-3.741598723,
972838000,-3.655263959,
984836000,-3.625385972,
996834000,-3.596198839,
1008832000,-3.653094777,
1020830000,-3.753817,
1032828000,-3.751698888,
1044826000,-3.822114651,
1056824000,-3.813565271,
1068822000,-4.001172259,
1080820000,-4.168490303,
1092818000,-4.383037186,
1104816000,-4.441211707,
1116814000,-4.537750915,
1128812000,-4.543009102,
1140810000,-4.687422049,
1152808000,-4.720996514,
1164806000,-4.655629052,
1176804000,-4.540844046,
1188802000,-4.648789403,
1200800000,-4.494871739,
1212798000,-4.342599642,
1224796000,-4.398580642,
1236794000,-4.490138235,
1248792000,-4.504369182,
1260790000,-4.594144609,
1272788000,-4.720447051,
1284786000,-4.650547866,
1296784000,-4.911935561,
1308782000,-4.845137453,
1320780000,-4.799893756,
1332778000,-4.994918104,
1344776000,-4.9932176,
1356774000,-5.021545456,
1368772000,-5.051632079,
1380770000,-5.182296345,
1392768000,-5.318473613,
1404766000,-5.401185128,
1416764000,-5.478496822,
1428762000,-5.676384953,
1440760000,-5.716400691,
1452758000,-5.912484911,
1464756000,-6.086737296,
1476754000,-6.425340453,
1488752000,-6.752812127,
1500750000,-7.190498954,
1512748000,-7.631432136,
1524746000,-7.94645573,
1536744000,-8.567267859,
1548742000,-8.894590383,
1560740000,-9.469414388,
1572738000,-9.77743347,
1584736000,-10.12369468,
1596734000,-10.70070249,
1608732000,-11.30728345,
1620730000,-11.4525678,
1632728000,-11.73203717,
1644726000,-11.9822928,
1656724000,-12.27521449,
1668722000,-12.33447072,
1680720000,-12.29823369,
1692718000,-12.64738202,
1704716000,-12.83395892,
1716714000,-13.24472472,
1728712000,-13.68510682,
1740710000,-14.27920602,
1752708000,-14.71723877,
1764706000,-15.27290307,
1776704000,-16.06477023,
1788702000,-16.45223514,
1800700000,-16.81392858,
1812698000,-16.73357977,
1824696000,-16.7042714,
1836694000,-16.94082153,
1848692000,-16.11663942,
1860690000,-15.79192488,
1872688000,-14.98812391,
1884686000,-14.35729392,
1896684000,-13.7459379,
1908682000,-13.21937772,
1920680000,-12.54781271,
1932678000,-12.14972666,
1944676000,-11.6544239,
1956674000,-11.55414105,
1968672000,-11.60952072,
1980670000,-11.57543365,
1992668000,-11.99836283,
2004666000,-11.80813401,
2016664000,-12.03219618,
2028662000,-12.02174647,
2040660000,-11.76178735,
2052658000,-11.47364673,
2064656000,-11.23482397,
2076654000,-10.81326552,
2088652000,-10.53458364,
2100650000,-10.22236674,
2112648000,-9.853087715,
2124646000,-9.258897519,
2136644000,-8.929848356,
2148642000,-8.705698798,
2160640000,-8.340703711,
2172638000,-8.011513327,
2184636000,-7.777478892,
2196634000,-7.479794337,
2208632000,-7.442116314,
2220630000,-7.462348334,
2232628000,-7.569676249,
2244626000,-7.492999151,
2256624000,-7.532644972,
2268622000,-7.724803828,
2280620000,-7.598545874,
2292618000,-7.707493515,
2304616000,-7.871539321,
2316614000,-7.765971302,
2328612000,-7.663841535,
2340610000,-7.772142301,
2352608000,-7.767778214,
2364606000,-7.687475398,
2376604000,-7.53921738,
2388602000,-7.673124756,
2400600000,-7.626660091,
2412598000,-7.681938589,
2424596000,-7.698216527,
2436594000,-7.61107021,
2448592000,-7.526554754,
2460590000,-7.516630087,
2472588000,-7.505425212,
2484586000,-7.402830185,
2496584000,-7.523632651,
2508582000,-7.513942347,
2520580000,-7.619838255,
2532578000,-7.853904537,
2544576000,-7.879494363,
2556574000,-7.887520273,
2568572000,-8.007919802,
2580570000,-8.043412518,
2592568000,-7.98878639,
2604566000,-8.093821145,
2616564000,-8.200093197,
2628562000,-8.368825374,
2640560000,-8.436827848,
2652558000,-8.569659396,
2664556000,-8.853389855,
2676554000,-8.976297541,
2688552000,-9.004446165,
2700550000,-9.065688413,
2712548000,-8.832690496,
2724546000,-8.82942632,
2736544000,-8.788974588,
2748542000,-8.675572344,
2760540000,-8.720669074,
2772538000,-8.690542178,
2784536000,-8.93809122,
2796534000,-8.895625019,
2808532000,-8.981838197,
2820530000,-9.089461217,
2832528000,-9.072737327,
2844526000,-9.029290769,
2856524000,-9.017292285,
2868522000,-9.097578431,
2880520000,-9.27373467,
2892518000,-9.255419366,
2904516000,-9.462307295,
2916514000,-9.852654794,
2928512000,-9.935643187,
2940510000,-9.787765004,
2952508000,-9.861360702,
2964506000,-9.798189017,
2976504000,-9.677557789,
2988502000,-9.463961239,
3000500000,-9.42422395,
3012498000,-9.456702519,
3024496000,-9.464364317,
3036494000,-9.427764305,
3048492000,-9.562587844,
3060490000,-9.694359299,
3072488000,-9.480361294,
3084486000,-9.631678161,
3096484000,-9.683087299,
3108482000,-9.46867869,
3120480000,-9.4538671,
3132478000,-9.53189191,
3144476000,-9.57308307,
3156474000,-9.571651046,
3168472000,-9.632452786,
3180470000,-9.658630205,
3192468000,-9.65086481,
3204466000,-9.803250873,
3216464000,-9.591305932,
3228462000,-9.578103285,
3240460000,-9.460508484,
3252458000,-9.381943882,
3264456000,-9.304242686,
3276454000,-9.318175235,
3288452000,-9.201350904,
3300450000,-9.269622116,
3312448000,-9.594098063,
3324446000,-9.577348503,
3336444000,-9.420282956,
3348442000,-9.65142703,
3360440000,-9.821397393,
3372438000,-9.672360927,
3384436000,-9.670246578,
3396434000,-9.635902719,
3408432000,-9.758986436,
3420430000,-9.963530033,
3432428000,-9.902612531,
3444426000,-10.00484254,
3456424000,-10.04829621,
3468422000,-9.874446566,
3480420000,-9.992963801,
3492418000,-9.697394143,
3504416000,-9.834007202,
3516414000,-10.15744017,
3528412000,-10.24775891,
3540410000,-10.37584792,
3552408000,-10.60341382,
3564406000,-10.79293746,
3576404000,-10.96603912,
3588402000,-11.1705791,
3600400000,-11.34082281,
3612398000,-11.3571797,
3624396000,-11.58158387,
3636394000,-11.47280588,
3648392000,-11.66469867,
3660390000,-11.65953935,
3672388000,-11.60882364,
3684386000,-11.59542341,
3696384000,-11.96427387,
3708382000,-11.9741154,
3720380000,-11.86449098,
3732378000,-12.13237917,
3744376000,-12.03567842,
3756374000,-12.13475519,
3768372000,-11.81691676,
3780370000,-11.89033697,
3792368000,-11.95462558,
3804366000,-11.95949093,
3816364000,-12.04536323,
3828362000,-11.99769708,
3840360000,-11.9328994,
3852358000,-12.18469376,
3864356000,-11.91723071,
3876354000,-12.38205564,
3888352000,-12.39689064,
3900350000,-12.70383801,
3912348000,-12.80492398,
3924346000,-13.07640437,
3936344000,-13.20190146,
3948342000,-13.36813485,
3960340000,-13.88437844,
3972338000,-13.78696612,
3984336000,-13.97689753,
3996334000,-13.97447409,
4008332000,-13.68194495,
4020330000,-13.77636327,
4032328000,-13.41770452,
4044326000,-13.48521906,
4056324000,-13.10815331,
4068322000,-13.18504877,
4080320000,-13.07665072,
4092318000,-13.04147704,
4104316000,-13.20551741,
4116314000,-13.50498543,
4128312000,-13.26836504,
4140310000,-13.52302881,
4152308000,-13.44815381,
4164306000,-13.81805704,
4176304000,-14.17839995,
4188302000,-14.67974128,
4200300000,-14.88881909,
4212298000,-15.47437801,
4224296000,-15.18107303,
4236294000,-15.28561652,
4248292000,-15.45958496,
4260290000,-15.39739699,
4272288000,-15.3282305,
4284286000,-14.87277983,
4296284000,-14.47920208,
4308282000,-14.10527279,
4320280000,-14.30908926,
4332278000,-13.97736343,
4344276000,-13.93235822,
4356274000,-13.87981456,
4368272000,-13.92029473,
4380270000,-13.78711991,
4392268000,-13.85164215,
4404266000,-13.93891331,
4416264000,-14.19604343,
4428262000,-14.34207084,
4440260000,-14.57314511,
4452258000,-15.0054521,
4464256000,-15.14931517,
4476254000,-15.42161165,
4488252000,-15.42104516,
4500250000,-15.63039888,
4512248000,-15.49497197,
4524246000,-15.38531668,
4536244000,-15.2785374,
4548242000,-15.05031989,
4560240000,-14.71634584,
4572238000,-14.60580391,
4584236000,-14.4774257,
4596234000,-14.50326543,
4608232000,-14.42760896,
4620230000,-14.20410639,
4632228000,-14.16970288,
4644226000,-14.19819755,
4656224000,-14.25726309,
4668222000,-14.06738401,
4680220000,-14.14052715,
4692218000,-14.03837838,
4704216000,-14.17395157,
4716214000,-13.82431003,
4728212000,-14.1946675,
4740210000,-14.4870771,
4752208000,-14.78303996,
4764206000,-15.28768902,
4776204000,-15.61831729,
4788202000,-15.89688203,
4800200000,-15.81885161,
4812198000,-15.65044328,
4824196000,-15.55603882,
4836194000,-15.90286935,
4848192000,-16.03922731,
4860190000,-16.38374457,
4872188000,-16.71761647,
4884186000,-16.48869485,
4896184000,-16.69650494,
4908182000,-16.43552663,
4920180000,-16.63934266,
4932178000,-16.22243991,
4944176000,-16.18981412,
4956174000,-16.00048229,
4968172000,-15.85420881,
4980170000,-15.81929077,
4992168000,-15.76192137,
5004166000,-15.6099034,
5016164000,-15.87511893,
5028162000,-15.87341097,
5040160000,-16.44032617,
5052158000,-16.62680178,
5064156000,-17.08373034,
5076154000,-17.61640207,
5088152000,-18.57855115,
5100150000,-19.14739358,
5112148000,-20.08195789,
5124146000,-20.0195732,
5136144000,-19.97979421,
5148142000,-20.25985881,
5160140000,-20.57718064,
5172138000,-20.94705983,
5184136000,-20.59698706,
5196134000,-20.64202104,
5208132000,-20.40677843,
5220130000,-19.8005556,
5232128000,-19.71526239,
5244126000,-19.49780805,
5256124000,-19.06460549,
5268122000,-18.95247345,
5280120000,-18.98456609,
5292118000,-19.1609021,
5304116000,-19.39188603,
5316114000,-19.42868746,
5328112000,-19.38365254,
5340110000,-19.56439331,
5352108000,-20.31443147,
5364106000,-20.58610141,
5376104000,-21.41828938,
5388102000,-21.79608973,
5400100000,-22.02031771,
5412098000,-22.59322429,
5424096000,-21.98126517,
5436094000,-22.6237138,
5448092000,-22.80838802,
5460090000,-22.25077763,
5472088000,-21.56535315,
5484086000,-21.64063773,
5496084000,-23.16256197,
5508082000,-22.64040836,
5520080000,-21.16018234,
5532078000,-20.68580178,
5544076000,-21.34067503,
5556074000,-21.22989983,
5568072000,-20.77574789,
5580070000,-20.27632647,
5592068000,-20.40136466,
5604066000,-20.53753266,
5616064000,-20.3093397,
5628062000,-21.65649257,
5640060000,-21.27302315,
5652058000,-21.58455855,
5664056000,-22.71932648,
5676054000,-22.34289455,
5688052000,-23.75973975,
5700050000,-23.13929317,
5712048000,-24.09253454,
5724046000,-23.64350456,
5736044000,-23.17352138,
5748042000,-24.67636595,
5760040000,-25.26588829,
5772038000,-24.93978197,
5784036000,-23.70285586,
5796034000,-25.47525295,
5808032000,-23.54973119,
5820030000,-21.80059831,
5832028000,-22.05303348,
5844026000,-21.54300557,
5856024000,-21.50298059,
5868022000,-21.36019206,
5880020000,-22.15976607,
5892018000,-21.78215815,
5904016000,-21.76007138,
5916014000,-22.33181629,
5928012000,-22.61311266,
5940010000,-22.25112902,
5952008000,-23.65715544,
5964006000,-24.43522478,
5976004000,-25.14205579,
5988002000,-29.92482954,
6000000000,-29.14622615,
