Frequency,S21_Magnitude,
1000000,-3.499979337,
12998000,-2.904799119,
24996000,-3.095207403,
36994000,-3.219668698,
48992000,-3.411287588,
60990000,-3.446804528,
72988000,-3.464891749,
84986000,-3.357567964,
96984000,-3.303139712,
108982000,-3.171575853,
120980000,-3.166282655,
132978000,-3.12751703,
144976000,-3.048350519,
156974000,-3.095732049,
168972000,-3.078350568,
180970000,-3.2411493,
192968000,-3.152900403,
204966000,-3.164273253,
216964000,-3.172385335,
228962000,-3.196846574,
240960000,-3.301240744,
252958000,-3.43754648,
264956000,-3.622175842,
276954000,-3.809765446,
288952000,-3.991030612,
300950000,-4.05171091,
312948000,-4.146919534,
324946000,-4.093944593,
336944000,-4.066550109,
348942000,-4.067411495,
360940000,-3.87681793,
372938000,-3.712783877,
384936000,-3.584288592,
396934000,-3.450389461,
408932000,-3.42505768,
420930000,-3.343277385,
432928000,-3.207661758,
444926000,-3.218316575,
456924000,-3.327958623,
468922000,-3.351907313,
480920000,-3.400032244,
492918000,-3.552214321,
504916000,-3.619012892,
516914000,-3.779093648,
528912000,-3.908158281,
540910000,-3.996183053,
552908000,-4.154501234,
564906000,-4.307953093,
576904000,-4.377460845,
588902000,-4.421119328,
600900000,-4.504539292,
612898000,-4.39620991,
624896000,-4.286826344,
636894000,-4.194487165,
648892000,-4.162740286,
660890000,-4.025527123,
672888000,-3.783542745,
684886000,-3.610972481,
696884000,-3.513828899,
708882000,-3.428637895,
720880000,-3.366356648,
732878000,-3.381133677,
744876000,-3.491030272,
756874000,-3.476852856,
768872000,-3.612453499,
780870000,-3.703442546,
792868000,-3.843807128,
804866000,-3.889603234,
816864000,-4.165069818,
828862000,-4.359987138,
840860000,-4.523107466,
852858000,-4.669696614,
864856000,-4.879809718,
876854000,-4.81358526,
888852000,-4.690114762,
900850000,-4.716699074,
912848000,-4.474360233,
924846000,-4.302562013,
936844000,-4.111165443,
948842000,-4.015890455,
960840000,-3.758955783,
972838000,-3.809282114,
984836000,-3.734842128,
996834000,-3.79362085,
1008832000,-3.825793994,
1020830000,-3.994616902,
1032828000,-4.023203693,
1044826000,-4.220703911,
1056824000,-4.334059123,
1068822000,-4.479644341,
1080820000,-4.681412152,
1092818000,-4.993445406,
1104816000,-5.044792995,
1116814000,-5.266726448,
1128812000,-5.279978946,
1140810000,-5.371621034,
1152808000,-5.363516714,
1164806000,-5.315530608,
1176804000,-5.335391026,
1188802000,-5.314931965,
1200800000,-5.295790778,
1212798000,-5.371472993,
1224796000,-5.41049622,
1236794000,-5.616380451,
1248792000,-5.624581491,
1260790000,-5.890708847,
1272788000,-5.930407351,
1284786000,-6.28370912,
1296784000,-6.3375685,
1308782000,-6.430936646,
1320780000,-6.458075316,
1332778000,-6.469123075,
1344776000,-6.524540343,
1356774000,-6.488017156,
1368772000,-6.690800193,
1380770000,-6.755914416,
1392768000,-6.847894521,
1404766000,-7.026191667,
1416764000,-7.15445633,
1428762000,-7.403363813,
1440760000,-7.678031255,
1452758000,-7.709305479,
1464756000,-8.074151304,
1476754000,-8.225418883,
1488752000,-8.381191133,
1500750000,-8.620469154,
1512748000,-9.097919056,
1524746000,-9.382234746,
1536744000,-9.692968818,
1548742000,-10.05830315,
1560740000,-10.39409207,
1572738000,-11.08044024,
1584736000,-11.25796104,
1596734000,-11.28570606,
1608732000,-11.56955941,
1620730000,-11.54358572,
1632728000,-11.97787083,
1644726000,-12.11317405,
