Frequency,S21_Magnitude,
1000000,-3.549162656,
12998000,-2.947286065,
24996000,-3.016671563,
36994000,-3.200334149,
48992000,-3.314944709,
60990000,-3.46558735,
72988000,-3.418185031,
84986000,-3.400586995,
96984000,-3.267458453,
108982000,-3.189435265,
120980000,-3.146401155,
132978000,-3.078395707,
144976000,-3.04947416,
156974000,-3.036132222,
168972000,-3.099310308,
180970000,-3.100279733,
192968000,-3.118988376,
204966000,-3.165794729,
216964000,-3.095398204,
228962000,-3.139790129,
240960000,-3.283952399,
252958000,-3.425037649,
264956000,-3.692405291,
276954000,-3.760893215,
288952000,-3.952413834,
300950000,-4.112851397,
312948000,-4.187124682,
324946000,-4.198922309,
336944000,-4.029444694,
348942000,-4.028711442,
360940000,-3.866307833,
372938000,-3.765511882,
384936000,-3.631591216,
396934000,-3.45592951,
408932000,-3.344282895,
420930000,-3.3482137,
432928000,-3.257433753,
444926000,-3.23067556,
456924000,-3.302561357,
468922000,-3.322975799,
480920000,-3.354883526,
492918000,-3.390402853,
504916000,-3.515099914,
516914000,-3.62609895,
528912000,-3.864319912,
540910000,-4.059521635,
552908000,-4.203299284,
564906000,-4.273186271,
576904000,-4.434221203,
588902000,-4.450077401,
600900000,-4.50640695,
612898000,-4.401768613,
624896000,-4.336512106,
636894000,-4.185128032,
648892000,-4.091216099,
660890000,-3.948107948,
672888000,-3.687373535,
684886000,-3.605629359,
696884000,-3.554747497,
708882000,-3.472715448,
720880000,-3.358080484,
732878000,-3.304457829,
744876000,-3.380922312,
756874000,-3.367177453,
768872000,-3.455801633,
780870000,-3.589898741,
792868000,-3.714679426,
804866000,-3.965430095,
816864000,-4.131988908,
828862000,-4.371226151,
840860000,-4.463044424,
852858000,-4.608453695,
864856000,-4.752485183,
876854000,-4.640822317,
888852000,-4.580866007,
900850000,-4.579300692,
912848000,-4.35541446,
924846000,-4.101066042,
936844000,-3.997354021,
948842000,-3.84217052,
960840000,-3.79025126,
972838000,-3.656802162,
984836000,-3.729416226,
996834000,-3.63367015,
1008832000,-3.694237021,
1020830000,-3.745424516,
1032828000,-3.772954472,
1044826000,-3.833027033,
1056824000,-3.962286886,
1068822000,-4.093927575,
1080820000,-4.285450216,
1092818000,-4.509804862,
1104816000,-4.758360335,
1116814000,-4.904528325,
1128812000,-4.901579684,
1140810000,-5.014114518,
1152808000,-5.074822602,
1164806000,-5.02773196,
1176804000,-5.005119644,
1188802000,-4.919048909,
1200800000,-4.966268167,
1212798000,-5.055462334,
1224796000,-4.980375419,
1236794000,-5.241865497,
1248792000,-5.431356301,
1260790000,-5.593917941,
1272788000,-6.062747116,
1284786000,-6.349641773,
1296784000,-6.541084556,
1308782000,-6.749572454,
1320780000,-6.772534046,
1332778000,-6.598865689,
1344776000,-6.510917315,
1356774000,-6.372220029,
1368772000,-6.101788178,
1380770000,-5.990758321,
1392768000,-5.919439879,
1404766000,-5.981821179,
1416764000,-6.025927984,
1428762000,-6.422539831,
1440760000,-6.744964969,
1452758000,-7.100225573,
1464756000,-7.815757692,
1476754000,-8.592352089,
1488752000,-9.272075344,
1500750000,-9.902750813,
1512748000,-10.42315054,
1524746000,-10.84417807,
1536744000,-10.6816678,
1548742000,-10.26739339,
1560740000,-9.916912481,
1572738000,-9.566662515,
1584736000,-9.066677147,
1596734000,-8.770585206,
1608732000,-8.512730133,
1620730000,-8.179009621,
1632728000,-7.997504155,
1644726000,-7.968822361,
1656724000,-7.782601806,
1668722000,-7.488094903,
1680720000,-7.566959068,
1692718000,-7.632736836,
1704716000,-7.625288113,
1716714000,-7.877748929,
1728712000,-8.231538471,
1740710000,-8.804889092,
1752708000,-9.27944565,
1764706000,-9.897295524,
1776704000,-10.76602291,
1788702000,-11.49974292,
1800700000,-12.34323742,
1812698000,-13.08171712,
1824696000,-13.82351378,
1836694000,-14.30739667,
1848692000,-14.58270755,
1860690000,-15.80721194,
1872688000,-16.37835964,
1884686000,-16.84930525,
1896684000,-17.37927759,
1908682000,-17.96131319,
1920680000,-20.30833993,
1932678000,-20.58144468,
1944676000,-21.18956246,
1956674000,-19.86922117,
1968672000,-18.17575449,
1980670000,-16.81393654,
1992668000,-15.64981286,
2004666000,-14.97984815,
2016664000,-14.04296127,
2028662000,-13.1967924,
2040660000,-12.76915597,
2052658000,-11.96008597,
2064656000,-11.05514087,
2076654000,-10.41323722,
2088652000,-9.597057946,
2100650000,-8.673975973,
2112648000,-8.05164939,
2124646000,-7.43669568,
2136644000,-6.82169739,
2148642000,-6.530913389,
2160640000,-6.107987908,
2172638000,-5.911434909,
2184636000,-5.847784766,
2196634000,-5.744327989,
2208632000,-5.712927444,
2220630000,-5.788288491,
2232628000,-5.870935875,
2244626000,-5.982157195,
2256624000,-6.07544194,
2268622000,-6.21189837,
2280620000,-6.234843859,
2292618000,-6.387454435,
2304616000,-6.277312401,
2316614000,-6.198262454,
2328612000,-6.162015843,
2340610000,-6.012417454,
2352608000,-6.049672765,
2364606000,-6.080094765,
2376604000,-6.267045985,
2388602000,-6.419833551,
2400600000,-6.536800145,
2412598000,-6.912784715,
2424596000,-6.912107091,
2436594000,-6.846538151,
2448592000,-6.817120276,
2460590000,-6.843892046,
2472588000,-6.762253079,
2484586000,-6.639701214,
2496584000,-6.606967415,
2508582000,-6.676932452,
2520580000,-6.695026146,
2532578000,-6.772035197,
2544576000,-6.84039284,
2556574000,-6.899742111,
2568572000,-6.837330576,
2580570000,-6.880431065,
2592568000,-7.103007706,
2604566000,-7.225880913,
2616564000,-7.572846112,
2628562000,-7.740375833,
2640560000,-8.007677037,
2652558000,-8.409694642,
2664556000,-8.690129578,
2676554000,-9.00141672,
2688552000,-8.918037166,
2700550000,-8.866228339,
2712548000,-8.778264216,
